流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
30.9368,2088,30.31850052,0,5.828629971,90.07620239,42.05709839,30.79290009,46.65380096,30.92309952,22.42309952,20,0.458187014,0.00595172,0
21.91659927,2280,33.08710098,0,5.629069805,108.0650024,58.27799988,38.73929977,39.5,34.40000153,26.10000038,20,0.752618015,0.00567614,0
80.41750336,197,18.01939964,0,4.903810024,76.96369934,36.22280121,25.51810074,43.39929962,37.59830093,19.00250053,20,0.320134014,0.00142799,0
39.42240143,2893,29.73550034,0,5.3854599,113.2109985,63.94749832,40.09249878,40.76319885,29.1053009,30.13159943,20,0.647974014,0.00941775,1
37.56710052,2093,28.6480999,0,5.924849987,78.11949921,33.08959961,24.06719971,46.70270157,31.40539932,21.89189911,20,0.45045799,0.00157106,0
28.2446003,2210,31.02729988,0,5.474259853,117.6380005,67.21019745,40.70090103,40.14289856,30.42860031,29.42860031,20,0.686290026,0.000249789,1
97.75409698,3169,30.2894001,0,4.91520977,81.19680023,39.46429825,28.69199944,44.34410095,33.07529831,22.58060074,20,0.611389995,0.00022704,1
25.67009926,2832,34.77420044,0,5.003180027,88.3348999,44.97990036,31.57500076,45.57139969,30.19050026,24.23810005,20,0.65851301,0.000174622,1
4.354010105,1583,29.48670006,0,5.465280056,121,70,42,39,25,36,20,0.678200006,0.0471054,1
6.85337019,2139,28.46780014,0,5.44039011,119.2409973,68.65260315,41.43859863,40.14289856,30.71430016,29.14290047,20,0.603888988,0.00740705,1
106.1500015,230,19.95330048,0,4.799819946,73.98840332,33.99089813,26.98139954,44,39,17,20,0.292073011,0.000342734,0
52.07490158,2848,31.22830009,0,5.755080223,93.58679962,46.46250153,30.51939964,43.36539841,31.09620094,25.53849983,20,0.589245975,0.00195467,0
22.2954998,2571,29.41419983,0,5.495220184,109.2809982,59.24089813,36.80479813,45.36360168,30,24.63640022,20,0.713819027,0.0018804,1
45.67499924,3106,33.40879822,0,4.792270184,78.73370361,36.94010162,26.27949905,45.35559845,30.75559998,23.88890076,20,0.628830016,0.000415859,0
2.471369982,1087,31.31010056,0,5.234509945,114,60,38,39,25,36,20,0.593466997,0.0583118,0
1.237599969,323,25.1345005,0,5.8667202,78.83100128,34.38499832,24.27700043,43.44329834,37.70100021,18.85580063,20,-0.200000003,0.0394873,0
0.125505,366,29.51009941,0,5.234509945,114,60,38,39,25,36,20,0.578643024,0.0859085,0
22.11590004,2238,32.37480164,0,5.269599915,114.3720016,61.33520126,38.51860046,41.25,30.29999924,28.45000076,20,0.680996001,0.000288378,1
35.19540024,30,26.7220993,0,4.611619949,70,31,21,44,39,17,20,0.242353007,0.00399647,0
